id,tweet,suggestedUsage,actualCategory
AViHfERO5WZ5LI912JMZ,Å_anl—± @Sixers bu gece Miami Heat'i TS—ç 03.00'da Wells Fargo Center'da konuk edecek. https://t.co/S8VW40OM0s,TRAINING,MISCELLANEOUS
AVhy_X0oe9yMj175jmFG,_ªÉÉ @WellsFargo https://t.co/oUmeLxtJq7,TRAINING,MISCELLANEOUS
AViMlLaFAHJ-cL1yqllM,_ªÉ__ªÉ__ªêÑ I'm dying laughing that's so ghetto https://t.co/nrTRvqXgvi,TRAINING,MISCELLANEOUS
AViChWiSc96u6qSv77to,_ªéÔ_ªè__ªéÔ_ªè__ªéÔ_ªè_ #TeamTaus #wellsfargo #DJTomTaus https://t.co/cYBd7yjz4n,TRAINING,MISCELLANEOUS
AVhwWzAvI2Sjmi8PbQ55,_ªêÑ_ªêÑ_ªêÑ https://t.co/PDgdbCDpc8,TRAINING,MISCELLANEOUS
AVhzE6wVe9yMj175jmK1,: Wells Fargo New Account Openings Down 44%; Credit Card Applications Plunge By 50% https://t.co/yMceXcgz0k,TRAINING,NEWS - NEGATIVE
AVhwS_u3I2Sjmi8PbQ5V,.@chariot wins Startup of the Year! #Ebbies @RecologySF @WellsFargo https://t.co/1bVEo6Pq98,TRAINING,MISCELLANEOUS
AVhwN6GjI2Sjmi8PbQ44,.@dsheehy100 check out this video before doing business with @wellsfargo.https://t.co/mI1997vbVX,TRAINING,REQUEST
AViCTFfEc96u6qSv77pl,".@realDonaldTrump Wells Fargo ""accounts"" fraud settled $190 mil; biggest fraud in DC hist: $13 mil. Trump: $25 mil. https://t.co/vucwSfSioi",TRAINING,NEWS - NEGATIVE
AViCUbsEc96u6qSv77py,".@realDonaldTrump Wells Fargo ""accounts"" fraud settled $190 mil; biggest fraud in DC hist: $13 mil. Trump: $25 mil.https://t.co/xQ0puZOb3F",TRAINING,NEWS - NEGATIVE
AVhwOd98I2Sjmi8PbQ47,.@Sourgirleb @WellsFargo https://t.co/mI1997vbVX,TRAINING,MISCELLANEOUS
AVhwNZveI2Sjmi8PbQ42,.@WellsFargo https://t.co/mI1997vbVX,TRAINING,MISCELLANEOUS
AVhwMcVpI2Sjmi8PbQ4G,.@WellsFargo he should be in a federal prison. https://t.co/mI1997vbVX,TRAINING,COMPLAINT
AVhzCmAze9yMj175jmIR,.@WellsFargo: Retail customers opened 44% fewer new accounts last month in wake of fake accounts scandal._Ñ_ https://t.co/NA9vHRfc58,TRAINING,NEWS - NEGATIVE
AVhzFNCRe9yMj175jmLO,.#303TN Wells Fargo New Account Openings Down 44%; Credit Card Applications Plunge By 50% https://t.co/hA74Eqog5U,TRAINING,NEWS - NEGATIVE
AViJc6m12cIsszF7Yw16,'Massive' Wells Fargo probe won't be complete until spring https://t.co/n2HQccNZgA,TRAINING,NEWS - NEUTRAL
AViJc6ZB2cIsszF7Yw15,'Massive' Wells Fargo probe won't be complete until spring https://t.co/SGPdqipXyE,TRAINING,NEWS - NEUTRAL
AViJjH4Z2cIsszF7Yw3e,'Massive' Wells Fargo probe won't be complete until spring https://t.co/TWQejMgqYd #insurance #money #stocks https://t.co/CYajKhkA6M,TRAINING,NEWS - NEUTRAL
AViJh62V2cIsszF7Yw3H,"""Amid Fake Account Fiasco, Wells Fargo Must Now Get Permission to Hire Or Fire Executives"" https://t.co/ckxvoYK5sA",TRAINING,NEWS - NEGATIVE
AViHdcTa5WZ5LI912JL2,"""Bank regulator issues new restrictions against Wells Fargo"" https://t.co/S4nlKBkSfK #sacramento #financial #business",TRAINING,NEWS - NEGATIVE
AViJbbdx2cIsszF7Yw05,"""BofA must face fraud lawsuit by Tutor Perini over debt sales"" - https://t.co/xWh74YGDI6  Another Wells Fargo greed organization?",TRAINING,NEWS - NEUTRAL
AVhy8tBce9yMj175jmB0,"""Senators push for expedited FINRA review of Wells Fargo, as scandal fallout continues"" https://t.co/I3tBbkYhLk #sacramento #financial #bu_Ñ_",TRAINING,NEWS - NEGATIVE
AVhy8AFpe9yMj175jmAr,"""Wells Fargo customer account openings plunge"" https://t.co/LRS3Gj7onP",TRAINING,NEWS - NEGATIVE
AViJo-Ud2cIsszF7Yw4n,"""Wells Fargo payouts should be halted in wake of ruling: U.S. lawmakers"" - https://t.co/C7QR8cgrfJ",TRAINING,NEWS - NEGATIVE
AViJbx6M2cIsszF7Yw09,"""Wells Fargo payouts should be halted in wake of ruling: U.S. lawmakers"" - https://t.co/IInXXO2tZn I agree!",TRAINING,NEWS - NEGATIVE
AVhy8ZYDe9yMj175jmBN,"""Wells Fargo says account openings tumbled 44% in October https://t.co/ajsWEZjUNb https://t.co/ASUR0Enwge""https://t.co/0XVmkqNazo",TRAINING,NEWS - NEGATIVE
AViJo4n42cIsszF7Yw4l,@__doyoudream wait nvm it was Wells Fargo lol. What they do now? _ª¥Ñ,TRAINING,MISCELLANEOUS
AVhzD2zfe9yMj175jmJW,@2dAmMuslim freaking Wells Fargo is up almost 20% in the last couple days... https://t.co/XqyVLOHbUr,TRAINING,NEWS - POSITIVE
AViJnTV-2cIsszF7Yw4U,@amnesty @UN @hrw @CopBlock @Copwatch @ACLU @UNHumanRights @sunoco_oil @WellsFargo @ndakotatoday @ndsenatormurphy_Ñ_ https://t.co/kXj767ixO2,TRAINING,MISCELLANEOUS
AViJlyXR2cIsszF7Yw39,"@amuhs State Journal Register is the epitome of FAKE NEWS. If Warren Buffet has EXTRA MONEY to invest, why steal from Wells Fargo depositors",TRAINING,COMPLAINT
AVhwYPtzI2Sjmi8PbQ6H,@anilj @WellsFargo I didn't have a choice. Mine was sold to Wells Fargo,TRAINING,MISCELLANEOUS
AViChUYWc96u6qSv77tm,"@Ask_WellsFargo @mscathyreed Cathy Reed, 470.303.4110, 400 Belmont PL SE APT 2206, Smyrna, GA 30080",TRAINING,REQUEST
AVhzG9wJe9yMj175jmN0,@Ask_WellsFargo @WellsFargo @SenWarren @SenSanders This practice of reordering is insidious. https://t.co/cSy4R9cohS,TRAINING,COMPLAINT
AVhzIgxJe9yMj175jmPg,@Ask_WellsFargo @WellsFargo @SenWarren Here's how you can help. Replace my money into my account that you stole. NOW.,TRAINING,COMPLAINT
AVhzHhtXe9yMj175jmOT,@Ask_WellsFargo @WellsFargo @SenWarren How my balance is calculated? Wow. It should be quite simple. I deposit and then debit. Not reordered,TRAINING,COMPLAINT
AVhzHQwke9yMj175jmOH,"@Ask_WellsFargo @WellsFargo @SenWarren How totally condescending. I made deposits before the debits, but Wells reordered it in reverse.",TRAINING,COMPLAINT
AVhzIyMae9yMj175jmP3,@Ask_WellsFargo @WellsFargo @SenWarren https://t.co/t6DqUCnwwT,TRAINING,MISCELLANEOUS
AVhzIYJfe9yMj175jmPV,@Ask_WellsFargo @WellsFargo @SenWarren https://t.co/YLzUbxiGBx,TRAINING,MISCELLANEOUS
AViKpPmPDpejEpiWJMST,@Ask_WellsFargo Are y'all going to stop funding DAPL or should I look for another bank?,TRAINING,COMPLAINT
AViITbN25WZ5LI912JNE,"@Ask_WellsFargo I have a mortgage with you and would move it in a second if i could, up there with @comcast with the worst customer service",TRAINING,COMPLAINT
AViITTmp5WZ5LI912JNB,"@Ask_WellsFargo I was never told about the service fee, now it's gone up $2 and I was never told about this. Why am I charged for NOT using",TRAINING,COMPLAINT
AVhy_1Soe9yMj175jmFu,@Ask_WellsFargo I'm calling you guys as soon as I go on break because this is bs,TRAINING,COMPLAINT
AViITfIP5WZ5LI912JNG,"@Ask_WellsFargo my own money?! That's BS. Next, your cust serv is horrible, one good days. Maybe don't hire RUDE people to deal w/ their",TRAINING,COMPLAINT
AViJnKlc2cIsszF7Yw4Q,"@Ask_WellsFargo The phone agent and his supervisor were adamant WF would only refund $7.50, I don't see why I should go through that again.",TRAINING,COMPLAINT
AViJmjHW2cIsszF7Yw4I,@Ask_WellsFargo there's money missing from my account ...,TRAINING,COMPLAINT
AViIUALP5WZ5LI912JNO,@Ask_WellsFargo this is why @SchwabService make your organization look like a child is playing banker in a cardboard box,TRAINING,COMPLAINT
AViITtw65WZ5LI912JNK,"@Ask_WellsFargo to log into my account i have to fucking call your bank, waist my time just to look at my mortgage balance? #failhard",TRAINING,COMPLAINT
AViITOoa5WZ5LI912JM_,@Ask_WellsFargo Why do you make it impossible to retrieve your password online? Who the fuck knows their bank account numbers lol!?!,TRAINING,COMPLAINT
AViCX5QHc96u6qSv77qm,@Ask_WellsFargo y'all suck!! smh,TRAINING,COMPLAINT
AViJh4su2cIsszF7Yw3F,"@Ask_WellsFargo, I really appreciate it... thanks for answer",TRAINING,COMPLIMENT
AVhzF9iUe9yMj175jmMb,@Ask_WellsFargo@senwarren,TRAINING,MISCELLANEOUS
AVhzGfBte9yMj175jmNC,@Ask_WellsFargo@senWarren  Let me help YOU. It's call reordering. I know what you all did. https://t.co/cSy4R8UMTi,TRAINING,COMPLAINT
AViJmBKc2cIsszF7Yw4A,@AudreyEatsPuppy just switched from wells fargo to a credit union and didn't even know about this.... Wow! I'm glad I did,TRAINING,COMPLAINT
AViCcZ8bc96u6qSv77rk,@BenLaneHW #meetthepress #wellsfargo #lorettalynch @elizabethforma @SenSanders https://t.co/cYarmjSosg,TRAINING,MISCELLANEOUS
AViCEzjac96u6qSv77mD,@BoingBoingBun BF uses Wells Fargo and I think that's pops' main too,TRAINING,MISCELLANEOUS
AViMlDktAHJ-cL1yqllL,@BratBitchie girl smh it's sad how ghetto bitches will be in public one of her broke customers in wells Fargo,TRAINING,MISCELLANEOUS
AViCX2zNc96u6qSv77ql,@C_Rich75 @sherigreatfalls @latimes WE ARE COMING AFTER WELLS FARGO,TRAINING,COMPLAINT
AViJiVGg2cIsszF7Yw3L,@CerealSerg @WellsFargo,TRAINING,MISCELLANEOUS
AViOPrEsAHJ-cL1yqllt,@Citibank @WellsFargo https://t.co/hwOM30ERHc,TRAINING,MISCELLANEOUS
AViCLYTVc96u6qSv77oA,"@Cookiemuffen I, on the other hand, invite said banned advertisers to contact me for alternative solutions. CNN is_Ñ_ https://t.co/zeYlhFZ9Hy",TRAINING,MISCELLANEOUS
AVhwWbzlI2Sjmi8PbQ53,@correctthemedia @KathyTu57558497 @CNN @exxonmobil @GEICO @WellsFargo @subaru_usa @Hyundai @bostonmarket @etrade @Dodge DODGE TOO? Come on,TRAINING,MISCELLANEOUS
AViCZY6fc96u6qSv77qx,@ejpalandro @StevieNicks me and my mom are going to Stevie nicks at Wells Fargo!!,TRAINING,MISCELLANEOUS
AVhzEB8te9yMj175jmJu,@emiliobadilio @WellsFargo https://t.co/fMMfvsqc5u,TRAINING,MISCELLANEOUS
AViCRqhSc96u6qSv77pU,"@erinmcclam @Entrepreneur You're quoted in my #Storify post about Wells Fargo, worker health, and stress management. https://t.co/E5uEjL1JG3",TRAINING,NEWS - NEUTRAL
