Expected Cat, Pred Cat, Content
COMPLAINT,REQUEST,u asked me to share d no  i have shared however no call has been received
COMPLAINT,COMPLAINT,is giving me a tough time how the hell do i change the registered mobile number on my credit card
COMPLAINT,COMPLIMENT,called custcare twice but issue is still not resolved instead of solving my issue rep tried to sell their product not happy
COMPLAINT,COMPLAINT,do not even inform changes in writing  anyone calls say they from the bank  phishing risk v high no security
COMPLAINT,COMPLAINT,u want me to pay rs for the debit card  so first you screw the customer and then ask them to pay to get back to normal
COMPLAINT,COMPLAINT,i am only getting emails customer kept in dark about d progress   it has been a month since my money was gone
COMPLAINT,REQUEST,vry amazing dat despite rate redn by rbi you chose to corner the benefit for urslf by nt pssing the reduction customers
COMPLAINT,REQUEST,i am furious  u debited twice from my bank when using pockets app  i want my money back now la
COMPLAINT,REQUEST,still no call from your side  already dmed you everything still waiting since days
COMPLAINT,COMPLAINT,try to withdraw from icici atm and it don't work  so use another bank atm and pay per trx
COMPLAINT,COMPLAINT,would you care to reply  or pretend caring and ignore like your customer care does
COMPLAINT,COMPLAINT,credit card application pending since last month    bhai ye he apki services approved twice also also not getting a card
COMPLAINT,REQUEST,your link for sending private messages does not work
COMPLAINT,COMPLAINT,r u not serious abt bug in banking app imobile dirty crime promised return my money but no use
COMPLAINT,COMPLAINT,worst bank who enjoy harassing u
COMPLAINT,COMPLAINT,it's unauthorised atm withdrawal transactions  waiting for the revert
COMPLAINT,COMPLAINT,chor bank still didnt able to find anything
COMPLAINT,COMPLAINT,dear sirdear kotak teamthere is no reply on my tweet dt th oct pm  clear case of misselling insurance/inv
COMPLAINT,COMPLAINT,if your ch***pa over take an action agnst ur bnk else u r a chor tat i alrdy prvd so
COMPLAINT,REQUEST,wht abt my other charges  they have committed to do needful within days  its already days now
COMPLAINT,COMPLAINT,days gone     and over that months eaten away  what is your bank doing  reply saying u cnt do nythin  u r wastin my time
COMPLAINT,REQUEST,why take after months is my concern  that amounts to cheating is my point       even after a month is dubious
COMPLAINT,COMPLAINT,all other banks i deal with take charges immediately which is best  you know ur charges before taking the service
COMPLAINT,COMPLAINT,got a phishing call from + the lady representing asked for credit card details and cvv
COMPLAINT,REQUEST,m not going to pay emi hereafter  mark it as npa
COMPLAINT,REQUEST,lovely   your rm in delhi doesn't even bother to address his client with a salutation   uncalled for   shameful
COMPLAINT,SUGGESTION,surrised that to close the car loan i need to travel to cp branch from fbd is challenged technically
COMPLAINT,REQUEST,i hate psu's they've extremely bad way of treating their customers i'll go likes of or
COMPLAINT,REQUEST,my money is been drained up in the name if imps without any reason  need refund immediately
COMPLAINT,REQUEST,recieving a message you are not authorized to view the page kotaknetbankingdown
COMPLAINT,COMPLAINT,ing vysya was best but you people ruined it
COMPLAINT,REQUEST,chorbank  you are stealing from your own customers  pathetic
COMPLAINT,REQUEST,experienced fraudulent transactions on my credit card for the first time   had to get it blocked  efficient support from
COMPLAINT,COMPLAINT,kindly check have requested credit card on ur site rec call on this number in   pm that was fishy fr me pl investigate
COMPLAINT,REQUEST,you have confirmed on mail that charges cant b waived off to which i hav askd u to mark loan as npa as i won't pay like fool
