Expected Cat, Pred Cat, Content
COMPLAINT,1809858035,u asked me to share d no  i have shared however no call has been received
COMPLAINT,943768874,is giving me a tough time how the hell do i change the registered mobile number on my credit card
COMPLAINT,766837782,called custcare twice but issue is still not resolved instead of solving my issue rep tried to sell their product not happy
COMPLAINT,1155522197,do not even inform changes in writing  anyone calls say they from the bank  phishing risk v high no security
COMPLAINT,-200323116,u want me to pay rs for the debit card  so first you screw the customer and then ask them to pay to get back to normal
COMPLAINT,-200323116,i am only getting emails customer kept in dark about d progress   it has been a month since my money was gone
COMPLAINT,1668713451,vry amazing dat despite rate redn by rbi you chose to corner the benefit for urslf by nt pssing the reduction customers
COMPLAINT,1668713451,i am furious  u debited twice from my bank when using pockets app  i want my money back now la
COMPLAINT,-1834317470,still no call from your side  already dmed you everything still waiting since days
COMPLAINT,-1691134240,try to withdraw from icici atm and it don't work  so use another bank atm and pay per trx
COMPLAINT,-200323116,would you care to reply  or pretend caring and ignore like your customer care does
COMPLAINT,943768874,credit card application pending since last month    bhai ye he apki services approved twice also also not getting a card
COMPLAINT,1668713451,your link for sending private messages does not work
COMPLAINT,1733598463,r u not serious abt bug in banking app imobile dirty crime promised return my money but no use
COMPLAINT,836722426,worst bank who enjoy harassing u
COMPLAINT,-1839212875,it's unauthorised atm withdrawal transactions  waiting for the revert
COMPLAINT,-1488702773,chor bank still didnt able to find anything
COMPLAINT,-1064740869,dear sirdear kotak teamthere is no reply on my tweet dt th oct pm  clear case of misselling insurance/inv
COMPLAINT,-1312109141,if your ch***pa over take an action agnst ur bnk else u r a chor tat i alrdy prvd so
COMPLAINT,-1834317470,wht abt my other charges  they have committed to do needful within days  its already days now
COMPLAINT,-2132702508,days gone     and over that months eaten away  what is your bank doing  reply saying u cnt do nythin  u r wastin my time
COMPLAINT,1668713451,why take after months is my concern  that amounts to cheating is my point       even after a month is dubious
COMPLAINT,-1218467841,all other banks i deal with take charges immediately which is best  you know ur charges before taking the service
COMPLAINT,943768874,got a phishing call from + the lady representing asked for credit card details and cvv
COMPLAINT,1668713451,m not going to pay emi hereafter  mark it as npa
COMPLAINT,1668713451,lovely   your rm in delhi doesn't even bother to address his client with a salutation   uncalled for   shameful
COMPLAINT,-1792297562,surrised that to close the car loan i need to travel to cp branch from fbd is challenged technically
COMPLAINT,1668713451,i hate psu's they've extremely bad way of treating their customers i'll go likes of or
COMPLAINT,-297309567,my money is been drained up in the name if imps without any reason  need refund immediately
COMPLAINT,1668713451,recieving a message you are not authorized to view the page kotaknetbankingdown
COMPLAINT,-1521008820,ing vysya was best but you people ruined it
COMPLAINT,1668713451,chorbank  you are stealing from your own customers  pathetic
COMPLAINT,600911372,experienced fraudulent transactions on my credit card for the first time   had to get it blocked  efficient support from
COMPLAINT,943768874,kindly check have requested credit card on ur site rec call on this number in   pm that was fishy fr me pl investigate
COMPLAINT,1668713451,you have confirmed on mail that charges cant b waived off to which i hav askd u to mark loan as npa as i won't pay like fool
REQUEST,231032538,my client wrongly paid excess incometax through icici online can we get reversal by th oct mrng
REQUEST,466664988,my salary was than how your employee open maintain a/c he don't told me about that   plz help me  i need your help
REQUEST,-747443372,i have submitted the evidence of whatsapp chat and the answer is same share the email id and will send to you all details
