Expected Category, Predicted Category, Next, Diff,Content
COMPLAINT,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000047099778118514511800946461545641171621294738745169125451379025962122657238417927083888665944279690874758142898188742355194897115000536891007750002857874972867802446365478802010621776272486147031083540374252254531659681414618284050213933716770342540545982713233774193651302400,u asked me to share d no  i have shared however no call has been received
COMPLAINT,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000001190311965379338253896716412398561222949121147160570300372157189159498502708302195806248157402359614649301897401968061465754497717346928463261358798612434554892709036657039245034736074097552089177986343183180569130895626640275146493279342480068757015300572267063955568977171370479952847144970845940684859418838151886463769510934108371087360000,is giving me a tough time how the hell do i change the registered mobile number on my credit card
COMPLAINT,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000000000014403424097544535377180363519167018644192421353742275921843486932175536001127688799512026732016697883578681417185332293600567008439878026035721529126460063121297501166453815592441544631441953429352055296598530777728403049880417948902579156039116380891933427437494189293652368748244820122503807377751970247300070126515669318832198463451866239721488038287274302476075816890580348240000,called custcare twice but issue is still not resolved instead of solving my issue rep tried to sell their product not happy
COMPLAINT,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000000000538801375024301091705288504010140661995582511809236266626013320812995731307970922846742814679107248188519494997782193918732969728465573007927263850468350913807140021856050859062535029726446069343963260158092817891611357848357627854120480101273703490061459579403188012303645224842563853483730843891665998483348444592728110490609209996216320,do not even inform changes in writing  anyone calls say they from the bank  phishing risk v high no security
COMPLAINT,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000000000000000031711401094373608107999700278362160674650026798916981763896982110043261502048222610501423017547529008369678351444907263579617693352772060739532943263360190987468570124148709170746972122581849391620264957398313249989100255549942753278370681968364858689607901239610146665152457507908851447189136636669188267953764162845571950009853855070114994543084059109920241245988569853620717924231622869721944198982168795835115741620773041442150086276059642304921600000,u want me to pay rs for the debit card  so first you screw the customer and then ask them to pay to get back to normal
COMPLAINT,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000000000493667982973609837145714260808846706531307165265884113357362551530860287721264123093803042309341745821452227483852805943618027292370237491741255306829816999411327553090549565225413383666864903407389864520553938450249390515666806308072340975851013623136208758630294207426232005230032340201887950647396567034058569899376734252109775064461265395322234461914713667680409714688000000,i am only getting emails customer kept in dark about d progress   it has been a month since my money was gone
COMPLAINT,COMPLAINT,COMPLIMENT,-0.000000000000000000000000000000000000000000000000000000000000000000000000000033172826452888990540128875204653501271087072593155933283678357731356260782440795917055460954266090052267669138862178835959657033379658816073033836564506750425328224628648578978044058385568846187912005475116078932802788156318228147903076086368934242602631061209078152587543170908528940810257567962438289683335008785357668210377278693265094502207144449755728156378255360,vry amazing dat despite rate redn by rbi you chose to corner the benefit for urslf by nt pssing the reduction customers
COMPLAINT,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000403408135981694974353963272123621628395772265392435464012144949254051240705217629305901924542019166313945329431650965180084961516487568552265728266953346778481707497776901109881048331751032404924381152745962188031296631658298805191007261516779011399923116445237823139182870844354793299637030042438418536073725430703136028417492054159689712640000,i am furious  u debited twice from my bank when using pockets app  i want my money back now la
COMPLAINT,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000001136535271899616819545881904611670103781278959904562679617512476283583423377431654638781042322487364146799129489576996695202988070993501836384449747113932096903335174242628689299786890917674034403823943267529571093223210541781472659907355000000,still no call from your side  already dmed you everything still waiting since days
COMPLAINT,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000535117210062171975978565473124901831811018321841592964367373959197083447917908529603813117977512971327502295352088231537573918706150803636785587423988497435431831110128703752294539277369066180595658581668827022100647520352350189713468934564514020913111676883551359374994049309547067668688868775467266028256867351878031722123214160064000000,try to withdraw from icici atm and it don't work  so use another bank atm and pay per trx
COMPLAINT,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000002221895016653701130555846877135028607960576686614982271078498318055953465445612880080948510987091492732743432765884993415327538214169512628763687654077269074931990283394839377763120333128123944299361646152936726864349335333084945985088394091892933745704960000,would you care to reply  or pretend caring and ignore like your customer care does
COMPLAINT,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000000000801740463884803324709092876426906643895204169394104445968459312281530094286019287517862094640874784744748551495743825699017732816993605495651095856775556971694069321906847006321871627640004458794060200046156743304393617651873440598123312590534010117075786705977842339400200985394570790212402360867583394298709240555899956541372127061800632320000,credit card application pending since last month    bhai ye he apki services approved twice also also not getting a card
COMPLAINT,COMPLAINT,REQUEST,-0.00000000000000000000000000057172977190516336831709207779969746263602037246556380506404495996933513020685058132953237057505253391521954903332223992098310597941150209504527100891275317126464640,your link for sending private messages does not work
COMPLAINT,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000017851522317279829286943235806302226971795086505458992868570917674081665921371452736749503507418232147668032673476496230583676398322264625562318835276246237644298141440965524317938323923741099993442854653089193655237360120485918411886753517268023002872118913606480740964208186336749426848867302124110003534395036038520567661286400,r u not serious abt bug in banking app imobile dirty crime promised return my money but no use
COMPLAINT,COMPLAINT,REQUEST,-0.000000000000000001960025320024734738234915148351919859979420451296102026863168606145084512212644184043838404933641776629158795091894940,worst bank who enjoy harassing u
