Expected Category, Predicted Category, Next, Diff,Content
COMPLAINT,REQUEST,COMPLAINT,-0.0000000000000000000000000000004498838844896377853746130484775661294516646322300513307152149958723823642313771025737844992266561486489761740618362117495208655073658023407627489848810763713117450989148856320,it's unauthorised atm withdrawal transactions  waiting for the revert
COMPLAINT,REQUEST,COMPLAINT,-0.000000000000000000000000000000000000254388133355316322956721229726843155473662142367579983555644582643147696697750553241189902204332816360685151469454436001029767468443330409008477987939908296150068480860977436506076364706148900,m not going to pay emi hereafter  mark it as npa
COMPLAINT,REQUEST,COMPLAINT,-0.00000000000000000000000000000000000000000000000000000000042457905709830492830272254177122587603309450223722206960208269053279007592058073393950222316208941901377586619044783880467755424469621180601149126830250122218148276119122837939456577742722978004367815582961747370394843546474314752765417245089912797922523253136287826801446401136352645465248268352083130820306152029143040,surrised that to close the car loan i need to travel to cp branch from fbd is challenged technically
COMPLAINT,REQUEST,COMPLAINT,-0.0000000000000000000000000000000000001054679659358951474128173645331245475361805699806073046544988376361899086067699669504374934990320804863455371042686371999375742219103952105057321533235195694571317081060694508481359153638730961816087686828698240,recieving a message you are not authorized to view the page kotaknetbankingdown
COMPLAINT,REQUEST,COMPLAINT,-0.000000000000000000000000000000000000000000000000000000000000000000005982182653795261115008745428559619578219195602330762134198634216694360169412855773972982584716453563057061214941940966333803947673959775366833840404044365967807359372029321195606625365765997802318060855021829882803233519559642932932805650198341193392081836137922476510000052661156297019831298255520066415144551611850292499491551693435483803384069122519756741036251335429987221504000000,kindly check have requested credit card on ur site rec call on this number in   pm that was fishy fr me pl investigate
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000000000000773744117396948375161065098131349958796015170115979398704390804569378584615277201697115509083254723785407730027378243359263436962355422195653636445617360179167637281022810921386088789032724335200380336713217187440801278160754179933746700250128513896676899118691530712869241652613791196837351900718182919494029143464987847666923407319079425231963533114831851551933243509033553054487695821722501120000,i have submitted the evidence of whatsapp chat and the answer is same share the email id and will send to you all details
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000004932736947222584805935385337623417212790178250080149615686865462045466816942858630280934767748485581375504407499598081703939229651598216694373538829590630193515813376671118370543979794499019832364972572357652030603105983505407524071473179626826760490133003107387127327505123727741952000,hi i want to unblock my credit card tried calling but number is not working  please help
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000000000817076058146427117260203028725411723657563715524829029131364618495216555573689535879027805983215628016045928169882197025704973003149207121740219059067225946626517507325074207303556064928500540072710562965497967013448504141715665681814944538481248089240724345901336819063576837258512080268455319096662238392426721700173696889866345291635366887285753071983321600000,dear sir if u have the answer to my query pls respond  i am being harassed by ur official on this pretext
COMPLIMENT,COMPLAINT,REQUEST,-0.000000136523606116940932485709189490662603839306811420,thank you
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000006773011723935183867259510492384507966791421031356408194551577737991875005923366578396986462031110624019147883755012766496924992547227945822536810530944541317515071532175705988161851811444456202857600157846114782138376665647428555950283496820659835882369114344813751094526944586262905318691970612348824244525815103488000,days and the elephant called icici bank has not moved reward of banking from inception being wealth management customer
MISCEALLANEOUS,REQUEST,COMPLAINT,-0.000000002956655276113926116915824993470595107055305986880655183350932750,shared my number
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000000002350872608455408279402394181263829890840114273094947790007032392181698572020921806480225919872227355486158602076971944006528146052742289060512746547361074335848933700527987853327480879996358377745673373238509569059963919754403329999129701862779446025541799815580627773009596414696316027200881826907575143966243848075597231539945112400000,ultimately he had to take down the tweet and tweet a fresh tweet tagging to which finally they replied  /
MISCEALLANEOUS,COMPLAINT,MISCEALLANEOUS,-0.0000000000000020782563710491253980892663963587114077182439942758455559500363215339680482237330066251431047680,finally  after months of waiting
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000009999254305038352706115479971722719247385319517147185096737902851945785512884335251916240405589347458882991020316996227231236964650629848298658267746732185345471503918014313625045161274255127338777953843996284137639376502953905225352720448668589566781770160976811899700972265407368455488045207756161024000000,i have od account in your neemuch fwa  branch which no is in this account many time irrevere
