Expected Category, Predicted Category, Next, Diff,Content
COMPLAINT,REQUEST,COMPLAINT,-0.000000000000000000000000000000000000001263226247585036134195837904421343403023904376794593886553615510098926929373619056826915332219216411853105723104053067644549065321719662897270125370198640574261218466736370790298706931833506627900124707840000,recieving a message you are not authorized to view the page kotaknetbankingdown
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000000000000070678444440917067402689865692288463186998339279401573577854840616527672604898612371002000098711240715545240460969161873889127880263592014382414256639069230144161536660482768702973901201130512831597324623610362207880641835900478129666216655494180647323392688564346293369992590883583733629417724591874511166360210689206087584208607082159592863858168561372659573185226301112079641025201547034512591781888000,my salary was than how your employee open maintain a/c he don't told me about that   plz help me  i need your help
REQUEST,COMPLAINT,MISCEALLANEOUS,-0.000000000000000000000000000000000000000000000000000000000000000000429182183018335071140283093333812010500221107292826993040071405932733579627774805741992287460854528427452699390476350043490297305699304258859245360295268361475661336481059318855233943658078734882877486916583367096594048483576921603892944029382379144961027705315440856532859001001510500634493141835904801970194985075550878271349419050770645820000964829166045188362633616980546966771524019896556416139264000,i have submitted the evidence of whatsapp chat and the answer is same share the email id and will send to you all details
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000221299683482432659179704919477237017309135595763811085014811264876818006129867224680637934711818643302440237018997866780401678530827710805199374176218889220825739587858879951106541036295128820897371728638721742759082416115515069998485114539950927004874122328044864053470959079467310962049024000,hi i want to unblock my credit card tried calling but number is not working  please help
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000000000000000000004771273599434441674651019213216645093170344726170965535526738042342829671996045694179758660481861507656356232430376339226376453885339687689728714851462195434029655567255823569800836854946736738073345909208085082006623278974163844596158956160701517919823269849273102841259706516353154677283181550380518163911728334509288374187082879132205613167971471410381030968928501760000,dear sir if u have the answer to my query pls respond  i am being harassed by ur official on this pretext
MISCEALLANEOUS,COMPLAINT,SUGGESTION,-0.000000000000000000000000000000000000000000000000000000003694546770993214415243835322520800838050807296557171769145080478476838938216404208775350292732887613623451106971934621020593934988028818836110184506689851668110732125106315919812754213801953066414094210954798881724340655739702650645790595198606385756509327236559953091577635623845191103114781879050164785161100117414351778873344000,days and the elephant called icici bank has not moved reward of banking from inception being wealth management customer
MISCEALLANEOUS,COMPLIMENT,COMPLAINT,-0.00000000262297969991759587704874832375482766904443191009137010250109746000,shared my number
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000000000002627213633486844480585881702635702907524417708139349478142163438258256184479922612057097066352160927304211680185720729057983306167265344392997087668210785898288695294500076438482173185086727138739566874374301862158311602782645127666285134971233211446214996617429001266194575577834031330059036329304772096000,this is how fraudster operate  web address is same except *s* missing in *https* and *l* used inst
MISCEALLANEOUS,COMPLAINT,COMPLIMENT,-0.000000000000000000000000000000000000000000000000000000000000013993417381060726027730508908053771499910636348924645122427440366845368034087669772389239812587299399282602733680491348635642315008913770884807399255077161972338936278182096928662011712522606248227196629656701982206221535760786915621821291455684998693070389755986829883744920116300342968541388795533064584735715321710061347244490792994456207360,ultimately he had to take down the tweet and tweet a fresh tweet tagging to which finally they replied  /
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000085557573092855786376584139495744073786099784192526823171156860440236268832071224140778501377572708589058366856794952719274908535958196661746380867133700670846528427022724364110992850682879028551756506875636175632112746400473695176083444765296306016260507604451052988804413445895274411999764935826179358720000,i have od account in your neemuch fwa  branch which no is in this account many time irrevere
MISCEALLANEOUS,COMPLAINT,REQUEST,-0.00000000000000000000000000000002673329535968031877620023434333334970863260901230266697693260152599217011573632411975534627935433891866962053078373949460972127442511960656840661843735576339100217241342466988476322826639360000,cc closure request and confirmation   but card account still in force
MISCEALLANEOUS,COMPLIMENT,MISCEALLANEOUS,-0.0003987434120193267860756789808644760,sure
REQUEST,COMPLAINT,REQUEST,-0.000000000000000000000000000000000000000000000001229317257188792489397558344905796126665097001094836871761977449863162904760198792054562177862571853112478033727051423785714314080762483720571546355645761921188604189292380543718554657724007932073577854636835040174746178072680927386761789124502071112417221104821640665498709049600688466496000,someone is misusing my email id on an icici bank account; how can this be stopped
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000292013018529871740256030054135568953390261228747419174815777155225548608490446733458470553482741631735949904116206149732864017483002157709419712516590808472139479958296147363256262989617379327108413183162910088322649282797521282395793387812670492931031828395665921030846303373589419212800000,i want to talk with some authories senior people who has power of decisions making my no
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000003163138390435324130383628231486621106179552942426917476392007464643500139071220817997805646250936947507309031925541075278857891990679143073045856231016684515881351397915871653276502822586575034773232713784526110433955668811915139431125853358495843024745706160683140968946537860577571317031719102516794209280000,hi team i am a corporate customer   could u pls contact me i need details on demat account
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000001614934434872949930312749728950089061883932724962239647620957679210102149132721561286385257734366340956528423131939773201080694363173102770496179608735224575060670306771136939964412929948114690010701006043348104028281602889312590371541316762582923478717759847606157781195662459553056827637760,you to write to antiphishing com with your contact details incase you receive any such calls  furt
REQUEST,COMPLAINT,SUGGESTION,-0.00000000000000000000000000000000097204778945972407442551535227461571052943093752253935141514044521821020738172967600182714950104147194629067234312800093413197467438236647638968911391441208145087860265984856825783976303260963309061413527951750758400,please also refund the other atm charge been applied on the account
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000000000000000000000000861805707942183067389171585860198142030696823583159012383998151806974230890786554565599913834836680835315750345446021257429033042987701626140724993866415341377416536667587226747063776769746203463970527626736012545956139301790601858369960400256325672270026065275800770458440757448261961405132758295038278519878897980288000,i have tried so many times plz email me rk_rose  com  from mail id u can get all details
REQUEST,COMPLAINT,SUGGESTION,-0.000004332942554632580364074458276386719213497702398580,call me
REQUEST,COMPLAINT,REQUEST,-0.00000000000000000000000000000000000073842202808766272158394817435017057736289895439011092302723065529930548769502247199644206180061840714317729175232875889866099290490405279401345068511046257012176396561798662814455521676496747914547912857280,these are fraudsters calls please don't share any information to them
REQUEST,COMPLAINT,REQUEST,-0.0000000000000000000000000000000000000000000000000000000000027689375348238380395049259430964956758427330380868509443656490654876162641926701650810739366449282020279804100399732870351901257442798310758147543912548889603903870967999854690730306061754529769786748293041700206766827609598296255933592967886657940823282338991256839365363400886530040549096232687087569853491146137644473828182600386986246790909817729843200,help me understand why i need to fill out all these details just so i can opt out of your marketing
